,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
28549,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,4.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0
28552,0.0,0.0,0.0,4.0,3.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,1.0,3.0,4.0,3.0,4.0,0.0,3.0,0.0
28562,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
28565,0.0,0.0,0.0,4.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,4.0,0.0
28572,0.0,1.0,0.0,4.0,3.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0
28573,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0
28577,0.0,5.0,0.0,4.0,4.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0
28583,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,2.0,3.0,0.0,3.0,0.0
28586,0.0,0.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,0.0
28587,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,4.0,0.0
28588,0.0,1.0,0.0,3.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,4.0,0.0
28589,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,3.0,2.0,4.0,2.0,1.0,0.0,4.0,0.0
28591,0.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,4.0,0.0,3.0,1.0
28616,0.0,0.0,0.0,4.0,3.0,1.0,4.0,2.0,4.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,2.0,3.0,4.0,4.0,3.0,0.0,3.0,0.0
28623,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,0.0
28624,0.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0
28625,0.0,0.0,0.0,4.0,2.0,0.0,4.0,4.0,4.0,0.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,2.0,1.0,4.0,0.0
28630,0.0,3.0,0.0,3.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0
28631,0.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0
28636,1.0,1.0,1.0,3.0,3.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,4.0,0.0
28638,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
28650,2.0,1.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0
28651,0.0,0.0,0.0,4.0,4.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
28655,0.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,4.0,0.0
28665,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,1.0,4.0,0.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0
28666,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0,3.0,0.0,3.0,0.0
28668,0.0,1.0,1.0,4.0,2.0,0.0,4.0,5.0,4.0,0.0,3.0,5.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0,3.0,4.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0
28669,0.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,3.0,2.0,0.0,4.0,4.0,0.0,2.0,2.0,3.0,0.0,4.0,0.0
28671,0.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0
28674,0.0,5.0,0.0,4.0,4.0,0.0,4.0,5.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0
