,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
12165,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0
12166,4.0,3.0,4.0,1.0,0.0,4.0,4.0,0.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,2.0,4.0,4.0,0.0,2.0,2.0,2.0,3.0
12169,4.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,4.0,3.0,4.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0
12171,3.0,4.0,4.0,0.0,1.0,4.0,2.0,1.0,3.0,4.0,3.0,0.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0
12174,4.0,3.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
12175,3.0,4.0,4.0,1.0,0.0,3.0,3.0,1.0,4.0,3.0,4.0,0.0,4.0,4.0,0.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0
12177,4.0,2.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,4.0
12179,4.0,1.0,4.0,2.0,1.0,4.0,1.0,0.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,4.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0
12182,4.0,3.0,2.0,3.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0
12190,4.0,2.0,4.0,1.0,0.0,4.0,3.0,1.0,4.0,1.0,3.0,0.0,4.0,4.0,1.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,3.0,4.0,0.0,3.0,1.0,4.0,3.0
12194,4.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0
12196,4.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0,4.0,1.0,4.0,0.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0
12197,4.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0
12199,4.0,4.0,4.0,4.0,0.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,2.0,4.0,4.0,0.0,4.0,1.0,3.0,4.0
12204,4.0,3.0,4.0,0.0,0.0,3.0,1.0,1.0,4.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,3.0
12207,4.0,4.0,4.0,3.0,0.0,4.0,4.0,5.0,4.0,0.0,4.0,0.0,4.0,4.0,5.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0,3.0,5.0,4.0,4.0
12211,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0
12217,4.0,4.0,4.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,0.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0
12223,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,2.0
12225,3.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0
12227,4.0,1.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,3.0,4.0
12228,4.0,3.0,4.0,0.0,0.0,4.0,2.0,1.0,4.0,4.0,4.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,5.0,3.0
12230,3.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,1.0,3.0
12231,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,1.0
12233,4.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0
12235,4.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0
12237,2.0,3.0,3.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,2.0,1.0
12243,4.0,4.0,4.0,0.0,0.0,3.0,3.0,0.0,4.0,1.0,4.0,0.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,4.0,4.0,2.0,0.0,3.0,1.0,3.0,4.0
12247,4.0,2.0,3.0,1.0,0.0,4.0,3.0,0.0,4.0,3.0,3.0,0.0,4.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,5.0,5.0,0.0,3.0,0.0,3.0,1.0
12249,4.0,3.0,4.0,0.0,1.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0
12250,3.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,3.0,2.0,4.0,1.0,0.0,0.0,1.0,4.0,3.0,0.0,3.0,1.0,3.0,3.0
12252,4.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,0.0,0.0,2.0,4.0,3.0,0.0,3.0,0.0,0.0,1.0
12253,4.0,3.0,4.0,1.0,0.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,3.0,4.0
12254,3.0,4.0,4.0,0.0,0.0,3.0,4.0,2.0,3.0,1.0,3.0,0.0,3.0,3.0,1.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,1.0,3.0
12256,4.0,3.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,3.0,0.0,2.0,3.0
12258,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0
12259,4.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,2.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0
12261,4.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,4.0,3.0,3.0,0.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0
12263,3.0,4.0,4.0,3.0,0.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,3.0
12264,3.0,4.0,4.0,0.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0,3.0
12265,4.0,4.0,4.0,1.0,0.0,4.0,4.0,0.0,3.0,3.0,4.0,0.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,1.0,1.0,3.0
12268,3.0,3.0,3.0,1.0,0.0,3.0,1.0,1.0,4.0,3.0,4.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,3.0
12271,4.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0
12272,4.0,4.0,4.0,0.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,3.0
