Partidos_ID;Ans_1;Ans_2;Ans_3;Ans_4;Ans_5;Ans_6;Ans_7;Ans_8;Ans_9;Ans_10;Ans_11;Ans_12;Ans_13;Ans_14;Ans_15;Ans_16;Ans_17;Ans_18;Ans_19;Ans_20;Ans_21;Ans_22;Ans_23;Ans_24;Ans_25;Ans_26;Ans_27;Ans_28;Ans_29;Ans_30;X;Y;Z;Country;country
CDU_CSU;5;2;5;2;2;5;3;5;2;4;5;2;2;3;2;3;2;3;2;4;4;2;2;4;3;5;3;5;5;4;0.25;0.416666667;0.357142857;Germany;Germany
SPD;5;4;5;2;1;5;4;2;4;2;2;4;4;4;4;1;3;5;1;3;3;4;4;4;2;1;1;4;4;1;-0.583333333;-0.5;0.785714286;Germany;Germany
FDP;5;6;5;1;4;5;5;5;2;5;2;4;1;2;1;4;2;2;2;4;4;4;4;5;6;1;2;4;4;1;0.666666667;-0.5;0.416666667;Germany;Germany
Grunen;5;4;5;1;2;5;4;1;2;2;2;5;4;3;4;2;4;4;4;1;3;4;4;4;3;1;2;1;4;2;-0.416666667;-0.666666667;0.857142857;Germany;Germany
Linke;4;2;5;3;1;3;5;2;5;2;3;5;5;5;5;1;4;5;3;2;2;4;5;5;6;1;1;2;1;1;-0.916666667;-0.833333333;0.357142857;Germany;Germany
AfD;2;1;4;4;4;4;5;5;5;5;5;2;3;1;2;6;2;6;4;4;4;2;4;6;6;4;4;6;4;1;0.5;0.25;-0.357142857;Germany;Germany
ND;5;2;4;3;2;5;2;2;4;2;2;2;2;4;1;3;4;5;2;1;2;2;1;1;4;2;4;4;3;2;0.3125;0.142857143;0.416666667;Greece;Greece
Syriza;4;2;5;4;1;4;5;4;3;5;5;5;4;1;5;5;5;4;5;5;4;5;5;2;1;1;1;1;4;1;-0.875;-0.857142857;0.083333333;Greece;Greece
Elia;5;99;5;1;2;5;3;2;4;5;2;3;4;2;1;4;2;3;1;1;4;4;1;1;1;1;2;1;5;1;0.0625;-0.857142857;0.9;Greece;Greece
ANEL;4;1;4;4;5;2;5;5;1;5;4;4;4;2;4;5;5;1;4;1;1;99;4;1;4;3;4;5;2;4;-0.4375;0.571428571;-0.333333333;Greece;Greece
GD;3;2;2;5;3;1;5;5;3;4;5;2;4;1;4;5;5;2;5;1;99;4;4;4;5;5;5;5;1;5;-0.4375;1;-0.666666667;Greece;Greece
KKE;3;1;5;5;3;1;5;5;1;5;5;5;5;1;5;5;5;5;5;4;4;5;5;1;5;1;5;1;4;1;-1;-0.285714286;-0.5;Greece;Greece
DIMAR;5;4;4;1;2;5;4;5;4;5;4;2;3;2;1;4;3;4;3;1;4;4;2;1;1;2;2;1;5;1;-0.125;-0.785714286;0.5;Greece;Greece
Potami;5;4;5;1;1;5;99;99;5;4;4;3;3;1;2;3;4;4;3;5;5;99;3;2;1;1;2;1;5;1;-0.125;-0.928571429;0.9;Greece;Greece
Greens;5;4;5;2;1;4;5;2;4;4;4;3;3;2;4;5;4;4;5;5;5;4;5;1;1;1;1;1;4;1;-0.5;-0.928571429;0.666666667;Greece;Greece
Drassi;5;5;5;1;2;5;2;1;5;1;1;1;1;4;1;1;2;1;1;2;5;4;2;1;1;1;1;1;5;1;1;-1;1;Greece;Greece
Fidesz;4;2;4;4;1;4;2;99;4;5;4;4;3;4;3;4;3;5;4;2;4;2;3;4;4;5;4;5;5;3;-0.5;-0.6;0.071428571;Hungary;Hungary
MSZP;1;4;4;2;2;5;1;2;4;2;2;2;4;4;2;4;4;2;3;2;4;3;5;3;2;4;2;99;2;2;0;0.25;0.375;Hungary;Hungary
Jobbik;1;2;2;5;2;1;3;4;1;2;3;5;4;4;2;3;4;4;4;4;3;2;2;1;4;5;4;4;2;4;-0.625;-0.6;-0.6875;Hungary;Hungary
LMP;5;4;4;3;2;5;3;4;4;2;2;5;4;4;1;4;4;4;1;2;5;2;4;5;1;3;1;3;4;1;-0.625;0.2;0.4375;Hungary;Hungary
E14;4;3;4;3;2;5;2;4;5;1;2;4;4;3;2;2;4;2;3;4;4;99;4;5;99;3;2;4;4;99;-0.125;0.125;0.375;Hungary;Hungary
DK;5;5;4;2;1;5;1;2;5;1;2;4;3;3;1;2;2;2;3;1;5;3;4;2;3;1;1;3;4;4;0;0.5;0.75;Hungary;Hungary
FF;5;2;4;4;2;5;5;2;2;4;3;4;2;1;4;2;4;2;3;5;3;3;4;3;5;2;1;4;5;3;0.055555556;-0.1;0.3;Ireland;Ireland
FG;5;3;5;4;2;5;99;2;2;4;1;3;3;1;5;3;4;1;5;5;1;2;4;3;4;1;1;4;5;5;0.222222222;0;0.5;Ireland;Ireland
Labour;5;99;4;3;2;5;99;2;2;4;3;4;2;2;5;4;4;1;4;5;1;2;4;4;99;1;1;3;4;2;-0.111111111;-0.25;0.625;Ireland;Ireland
SF;5;1;4;4;2;3;5;3;4;5;5;5;1;4;5;5;3;5;1;5;5;5;4;4;4;1;1;4;5;2;-0.722222222;-0.1;0;Ireland;Ireland
Greens;5;3;4;4;2;4;4;2;3;4;4;4;2;3;4;2;1;2;5;5;3;99;4;5;4;2;1;99;4;3;-0.125;-0.5;0.3;Ireland;Ireland
Socialists;2;1;4;5;2;2;5;4;4;5;5;5;1;5;5;5;2;5;1;1;5;5;5;5;5;2;1;1;2;1;-1;-0.9;-0.5;Ireland;Ireland
PD;5;4;5;2;2;5;2;4;2;4;2;2;4;4;3;4;4;3;4;2;4;1;4;1;2;5;2;4;2;5;-0.1;-0.5;0.8;Italy;Italy
FI;3;6;4;2;2;2;2;2;1;1;4;2;1;3;4;4;1;4;1;4;2;3;4;3;5;2;4;4;1;1;0.8;0.571428571;0.125;Italy;Italy
LegaNord;1;2;1;4;5;1;4;2;2;2;4;2;4;4;4;2;1;4;1;2;4;5;4;3;4;1;5;5;2;3;0.3;0.5;-0.8;Italy;Italy
NCD.UDC;5;4;4;2;4;4;6;2;2;2;4;2;2;4;4;4;1;4;2;4;2;2;5;5;5;2;4;4;1;4;0.5;0.714285714;0.6;Italy;Italy
M5S;2;6;2;3;2;1;5;5;2;4;3;3;4;5;1;2;2;1;2;5;4;3;2;1;2;6;3;5;4;5;-0.3;-0.333333333;-0.5;Italy;Italy
FDI;2;6;3;4;2;1;4;1;3;1;2;1;2;4;3;2;1;6;1;2;1;3;5;4;5;2;5;3;6;3;0.7;0.857142857;-0.5;Italy;Italy
Lista.Tsipras;5;6;5;1;1;3;3;4;5;5;1;5;5;5;1;2;4;1;5;2;5;2;1;1;1;5;1;2;5;5;-0.9;-1;0.75;Italy;Italy
ScelteEur;5;4;5;1;3;5;2;1;1;2;3;1;1;1;4;5;4;4;4;4;3;1;3;2;6;4;4;5;1;4;0.9;-0.166666667;0.9;Italy;Italy
LSDP;5;2;4;2;1;5;2;4;5;5;4;5;1;5;4;2;3;2;4;2;3;4;4;1;3;1;4;3;3;3;-0.6;-0.2;0.428571429;Lithuania;Lithuania
DP;5;2;4;3;2;5;4;4;4;4;2;4;2;3;2;4;3;2;3;3;99;4;4;3;4;2;4;4;3;3;-0.2;0;0.285714286;Lithuania;Lithuania
TS.LKD;5;2;4;2;2;5;2;1;4;3;3;3;3;1;2;3;3;1;5;1;2;3;3;2;5;5;5;3;1;3;0.3;0.7;0.571428571;Lithuania;Lithuania
LRLS;4;2;5;2;2;5;3;3;3;2;2;1;5;2;2;3;3;3;5;2;4;5;5;2;2;1;3;3;3;2;0.8;-0.6;0.357142857;Lithuania;Lithuania
Tvarka;3;2;4;4;2;4;4;3;2;4;2;3;2;3;4;3;3;2;3;3;2;3;3;4;5;4;4;3;3;2;-0.3;0.5;-0.071428571;Lithuania;Lithuania
LLRA;3;2;4;3;2;4;3;4;4;4;3;4;2;4;4;99;2;3;4;3;2;99;99;3;5;5;4;3;3;2;-0.3;0.75;0.071428571;Lithuania;Lithuania
LVZS;3;2;4;4;2;4;4;3;4;4;4;4;2;4;4;3;2;5;1;3;2;99;5;2;4;3;4;4;2;2;-0.6;0.1;0.071428571;Lithuania;Lithuania
VVD;4;4;2;4;5;4;1;5;4;4;4;1;1;1;4;2;1;99;4;5;5;2;1;5;3;1;2;3;3;4;0.6;0;-0.083333333;Netherlands;Netherlands
PvdA;4;3;2;2;2;4;3;3;2;3;3;4;1;4;2;4;4;2;2;2;1;2;4;5;2;1;1;1;4;1;-0.1;0;0.25;Netherlands;Netherlands
PVV;1;1;1;5;5;1;5;5;5;2;5;2;1;2;4;2;5;4;4;4;5;1;2;99;5;2;3;4;1;2;0.2;-0.25;-0.666666667;Netherlands;Netherlands
SP;3;2;2;5;2;3;5;5;4;1;5;5;2;5;1;5;5;5;3;2;1;2;4;5;2;1;1;1;4;2;-0.3;0.083333333;0;Netherlands;Netherlands
CDA;5;3;4;2;2;5;2;5;4;5;5;4;2;2;5;2;2;3;3;2;5;5;2;99;4;2;2;4;4;4;0.6;-0.166666667;0.75;Netherlands;Netherlands
D66;5;4;5;2;3;5;3;2;2;4;1;2;2;2;3;3;2;2;4;2;4;2;5;4;2;1;1;1;4;4;0.3;0.25;0.416666667;Netherlands;Netherlands
CU.SGP;4;2;3;4;1;4;2;5;4;5;4;4;1;4;3;2;3;4;3;3;3;2;3;4;3;5;5;5;3;4;0.2;-0.083333333;0.333333333;Netherlands;Netherlands
GL;5;4;5;2;2;5;4;2;2;2;2;5;2;4;2;4;4;3;1;1;1;3;4;4;2;1;1;1;5;2;-0.1;0;0.583333333;Netherlands;Netherlands
PvdD;4;2;2;5;5;4;5;5;5;2;5;5;4;2;2;4;4;4;1;1;3;2;5;5;3;1;1;1;5;1;0.1;-0.166666667;-0.083333333;Netherlands;Netherlands
50PLUS;5;2;4;2;3;4;5;4;4;4;4;5;1;3;2;2;5;2;3;1;2;2;2;99;3;2;2;2;4;3;0.1;0;0.5;Netherlands;Netherlands
