,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
3944,2.0,0.0,3.0,3.0,0.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0
3949,3.0,1.0,3.0,2.0,0.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
3962,0.0,0.0,4.0,3.0,0.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
3965,2.0,1.0,2.0,2.0,0.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0
3967,2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0
3968,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
3970,0.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,4.0,1.0,3.0,1.0
3973,2.0,1.0,4.0,3.0,0.0,3.0,1.0,4.0,1.0,4.0,4.0,3.0,4.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
3974,1.0,1.0,4.0,3.0,0.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0
3981,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
3983,4.0,3.0,4.0,2.0,0.0,3.0,0.0,4.0,2.0,4.0,4.0,0.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
