,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
10558,2.0,1.0,4.0,1.0,0.0,3.0,4.0,3.0,4.0,4.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,4.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0
10560,3.0,4.0,4.0,3.0,0.0,3.0,3.0,2.0,3.0,1.0,3.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0
10561,2.0,1.0,4.0,4.0,0.0,0.0,4.0,2.0,4.0,3.0,3.0,0.0,2.0,4.0,4.0,4.0,4.0,1.0,3.0,0.0,0.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0
10564,5.0,3.0,4.0,4.0,0.0,3.0,2.0,2.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
10570,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,0.0,4.0,3.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0
10575,1.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0
10576,3.0,3.0,4.0,3.0,0.0,1.0,4.0,2.0,4.0,1.0,3.0,0.0,2.0,4.0,3.0,0.0,4.0,0.0,4.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0
10578,3.0,0.0,4.0,3.0,0.0,1.0,3.0,3.0,4.0,3.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,1.0,4.0,0.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0
10579,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0
10582,2.0,1.0,4.0,4.0,0.0,3.0,4.0,0.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
